MAX_PKT_LEN = 32, Bandwith = 10.816103 MB/s
MAX_PKT_LEN = 64, Bandwith = 21.617233 MB/s
MAX_PKT_LEN = 128, Bandwith = 43.262222 MB/s
MAX_PKT_LEN = 256, Bandwith = 86.521515 MB/s
MAX_PKT_LEN = 512, Bandwith = 173.037201 MB/s
MAX_PKT_LEN = 1024, Bandwith = 345.910767 MB/s
MAX_PKT_LEN = 2048, Bandwith = 480.564575 MB/s
MAX_PKT_LEN = 4096, Bandwith = 736.227173 MB/s
MAX_PKT_LEN = 8192, Bandwith = 1003.483826 MB/s
MAX_PKT_LEN = 16384, Bandwith = 1225.863770 MB/s
MAX_PKT_LEN = 32768, Bandwith = 1378.939087 MB/s
MAX_PKT_LEN = 65536, Bandwith = 1514.923584 MB/s
MAX_PKT_LEN = 131072, Bandwith = 1544.543335 MB/s
MAX_PKT_LEN = 262144, Bandwith = 1571.936768 MB/s
MAX_PKT_LEN = 524288, Bandwith = 1586.044678 MB/s
MAX_PKT_LEN = 1048576, Bandwith = 1593.181641 MB/s
MAX_PKT_LEN = 2097152, Bandwith = 1596.789185 MB/s
MAX_PKT_LEN = 4194304, Bandwith = 1598.587769 MB/s
MAX_PKT_LEN = 8388608, Bandwith = 1599.087891 MB/s
